Temp	H2ODens	H2OVisc
C  	kg/m^3	kg/m-1s-1
16	999.03	0.001109
17	998.86	0.001081
18	998.68	0.001054
19	998.49	0.001028
20	998.29	0.001003
21	998.08	0.000979
22	997.86	0.000955
23	997.62	0.000933
24	997.38	0.000910
25	997.13	0.000891
26	996.86	0.000871
