19,0,1
29,17,18
130,116,139
130,139,152
130,152,149
130,149,134
130,134,117
130,117,116
149,152,162
149,162,159
147,137,136
146,147,136
146,136,135
146,135,148
146,148,164
146,164,165
146,165,147
147,165,166
147,166,153
147,153,137
148,135,134
148,134,149
148,149,159
148,159,164
164,159,178
164,178,177
165,164,177
187,191,176
187,176,165
187,165,177
197,187,177
197,177,178
197,178,194
208,196,221
236,234,249
263,264,236
263,236,249
263,249,260
270,263,260
270,260,255
270,255,290
270,290,289
270,289,291
270,291,263
263,291,285
263,285,264
264,285,286
262,264,286
269,262,286
269,286,287
275,269,287
275,287,288
268,275,288
268,288,283
268,283,266
268,266,259
261,268,259
261,259,251
261,251,257
261,257,269
261,269,275
261,275,268
269,257,262
262,257,248
262,248,264
264,248,236
228,223,236
228,236,248
228,248,244
228,244,230
228,230,222
228,222,223
223,222,208
223,208,221
223,221,236
236,221,234
208,222,197
208,197,194
208,194,196
209,197,222
209,222,230
209,230,235
215,209,235
215,235,238
214,215,238
214,238,231
213,214,231
213,231,227
213,227,210
213,210,205
213,205,206
213,206,214
201,215,214
201,214,206
201,206,191
201,191,187
201,187,209
201,209,215
209,187,197
118,109,108
118,108,102
118,102,121
118,121,136
118,136,137
125,109,118
125,118,137
125,137,153
140,125,153
155,140,153
155,153,168
155,168,171
155,171,167
155,167,154
155,154,140
140,154,127
140,127,123
140,123,125
125,123,109
168,153,166
168,166,176
168,176,180
171,168,180
205,190,191
205,191,206
245,246,231
238,245,231
251,238,235
244,251,235
230,244,235
244,248,257
244,257,251
251,259,238
238,259,245
266,245,259
283,288,303
315,316,328
327,315,328
327,328,351
327,351,352
336,327,352
336,352,353
334,335,321
314,334,321
292,277,295
306,292,295
306,295,314
306,314,321
305,306,321
305,321,326
305,326,313
305,313,300
305,300,293
305,293,292
305,292,306
292,293,278
292,278,277
280,299,307
280,307,281
280,281,271
280,271,272
280,272,283
280,283,299
276,277,265
276,265,271
276,271,281
276,281,295
276,295,277
271,265,258
271,258,272
272,258,266
272,266,283
299,315,307
299,283,303
299,303,316
299,316,315
281,307,314
281,314,295
277,278,252
277,252,265
314,307,327
314,327,336
314,336,334
334,336,353
334,353,354
334,354,335
335,354,355
326,335,355
326,355,356
326,356,357
326,357,339
326,339,323
313,326,323
313,323,309
300,282,293
300,313,309
300,309,294
300,294,282
282,294,279
273,278,282
273,282,279
273,279,267
253,273,267
253,267,240
237,253,240
225,226,237
225,237,240
225,240,217
211,225,217
211,217,192
204,211,192
186,173,195
186,195,204
186,204,192
186,192,173
202,203,219
202,219,224
202,224,220
202,220,204
202,204,195
189,202,195
174,189,195
156,143,170
173,156,170
173,170,174
173,174,195
173,192,160
173,160,156
156,160,141
156,141,143
157,174,170
145,157,170
143,141,138
143,138,145
143,145,170
141,160,151
126,113,120
126,120,141
126,141,151
126,151,128
126,128,115
126,115,113
113,103,120
97,113,115
97,115,100
82,97,100
82,100,84
82,84,68
82,68,63
82,63,78
82,78,91
82,91,97
97,91,103
97,103,113
141,120,138
131,145,138
131,138,122
127,131,122
98,104,122
114,98,122
114,122,138
114,138,120
103,114,120
103,91,90
103,90,114
114,90,98
81,98,90
74,81,90
74,90,91
74,91,78
60,74,78
60,78,63
45,60,63
45,63,52
45,52,37
28,45,37
28,37,19
28,19,1
28,1,2
28,2,32
28,32,45
45,32,48
45,48,60
60,48,65
60,65,74
74,65,81
73,81,65
50,73,65
50,65,46
50,46,33
50,33,35
43,44,64
43,64,50
43,50,35
27,43,35
27,35,7
27,7,8
26,44,27
26,27,8
26,8,9
25,26,9
24,25,9
24,9,10
23,24,10
23,10,11
22,23,11
21,22,11
21,11,12
21,12,13
42,21,13
20,42,13
20,13,14
20,14,15
20,15,16
20,16,30
41,20,30
